Test ID,Title,Menu,Status,HTTP,Requested URL,Final URL,Assertion,Screenshot,Notes
guest//application (after pass)@1440,My application — Retask,My application (header label),Fail,200,http://127.0.0.1:3002/application,http://127.0.0.1:3002/application,"freelancer.md §2: 'CONTRACT ISSUED → awaiting vendor signature… SIGNED → COUNTERSIGNED AUTOMATICALLY, the instant they sign'; F-29 'no PDF is rendered before both signatures'",1440-application-thread-after-pass.png,"Where it is: 'Contract Issued · September 16, 2026'. What happens next: 'Your contract is signed on both sides. We will email you as your account is set up.' — nobody has signed; contract archive row says Issued (finding F2). main sw=cw at 1440"
guest//application (after pass)@820,My application — Retask,My application (header label),Fail,200,http://127.0.0.1:3002/application,http://127.0.0.1:3002/application,"freelancer.md §2: 'CONTRACT ISSUED → awaiting vendor signature… SIGNED → COUNTERSIGNED AUTOMATICALLY, the instant they sign'; F-29 'no PDF is rendered before both signatures'",820-application-thread-after-pass.png,"Where it is: 'Contract Issued · September 16, 2026'. What happens next: 'Your contract is signed on both sides. We will email you as your account is set up.' — nobody has signed; contract archive row says Issued (finding F2). main sw=cw at 820"
guest//application (after pass)@390,My application — Retask,My application (header label),Fail,200,http://127.0.0.1:3002/application,http://127.0.0.1:3002/application,"freelancer.md §2: 'CONTRACT ISSUED → awaiting vendor signature… SIGNED → COUNTERSIGNED AUTOMATICALLY, the instant they sign'; F-29 'no PDF is rendered before both signatures'",390-application-thread-after-pass.png,"Where it is: 'Contract Issued · September 16, 2026'. What happens next: 'Your contract is signed on both sides. We will email you as your account is set up.' — nobody has signed; contract archive row says Issued (finding F2). main sw=cw at 390"
guest//notifications@1440,Notifications — Retask,Notifications (header bell),Pass,200,http://127.0.0.1:3002/notifications,http://127.0.0.1:3002/notifications,F-31: '/notifications is that log scoped to the reader — the inbox IS the send log',1440-guest-notifications-send-log.png,"'1 notification · 1 unread — Your Retask sign-in code · Sent to walk.20260916a@example.test · 16 Sep 2026, 12:55pm'. Matches the dev inbox exactly (only the code was ever sent)"
guest//application/edit@1440,Complete my application — Retask,(from 'Complete or correct it'),Pass,200,http://127.0.0.1:3002/application/edit,http://127.0.0.1:3002/application/edit,"ROUTES.md 15.2 /application/edit: availability, city, phone; NOT date of birth, country or consent",1440-application-edit-form.png,"Fields hours_per_week, notice_period, city, phone only; explanatory copy for the three locked fields. Not submitted"
guest//bank-details@1440,Home — Retask,(URL from ROUTES.md 15.5),Pass,200,http://127.0.0.1:3002/bank-details,http://127.0.0.1:3002/dashboard,"ROUTES.md /bank-details: 'reachable only once a contract is executed' (§14.4b, D-022)",1440-guest-bank-details-before-signature.png,"Redirected to /dashboard with toast 'Bank details are asked for once a contract is signed, and not before.' Correct gate — and it contradicts /application's 'signed on both sides' on the same account (F2). Re-checked after the failed stand-in: identical (1440-guest-bank-details-after-standin-failed.png)"
admin//login (password attempt)@1440,Retask — freelance task work with Reliance Health,(auth card),Blocked,200,http://127.0.0.1:3002/login (POST),http://127.0.0.1:3002/?as=staff&login=1,Plan: admin recipe `password`; sessions#create line 55,1440-admin-landing-after-magic-link.png,"POST with sweep.admin@example.test / fixture password bounced to the staff card with toast 'That account signs in with Zoho.' (read from #toasts). The fixture's `password` recipe is refused by the app; signed in instead through the card's own fallback 'Can't sign in? Get a one-time sign-in link' (real mail, read from inbox)"
admin//login/link/sent@1440,Link sent — Retask,(auth card),Fail,200,http://127.0.0.1:3002/login/link (POST),http://127.0.0.1:3002/login/link/sent,F-03 magic link; copy consistency (design-system forms.md: the field's help text is the contract),1440-admin-landing-after-magic-link.png,"Card said 'expires after 10 minutes'; this page says 'expires in 15 minutes'; token exp 13:19:36Z vs Date 13:04:36Z = 15 min, so the card is wrong (F11). Mail link host is localhost:3000 (mailer default_url_options), not the QA server"
admin//dashboard@1440,Home — Retask,Dashboard,Pass,200,http://127.0.0.1:3002/login/link/<token>,http://127.0.0.1:3002/dashboard,"admin.md §5.1 Dashboard: four figures and four panels; ROUTES.md 'Demo data in development only… off, the layout stays, the figures blank'",1440-admin-landing-after-magic-link.png,"Demo toggle = header button 'Demo data' (aria-pressed) in a form POSTing /dev/mode; was ON ('Demo data is on. Every figure below is fabricated.'), switched OFF (aria-pressed=false; figures became real: Unclaimed 5). Rail 'Primary' highlights Dashboard (aria-current=page). Title 'Home' / h1 'Oversight' / rail 'Dashboard' — three labels (F11). main sw=cw=1204"
admin//applicants@1440,Applicant pipeline — Retask,People › Applicant pipeline,Fail,200,http://127.0.0.1:3002/applicants,http://127.0.0.1:3002/applicants,admin.md §5.2 Applicant pipeline: 'Applications by state and country',1440-admin-people-pipeline-tally-mismatch.png,"Demo off. 'Passed the rubric 2 (All time, after any override)' vs By country Passed Nigeria 1 · Egypt 0 · Senegal 0; 'Contracts issued —  Arrives with contract signature (F-29)' while /contract-archive lists 4 Issued contracts (F8). Tab strip has no Suspensions / Offboarding flags (spec §5.2 puts them here; app puts them under Accountability, deliberate per admin_shell.rb:32)"
admin//test-results@1440,Test results — Retask,People › Test results,Fail,200,http://127.0.0.1:3002/test-results,http://127.0.0.1:3002/test-results,F-27: 'Admin override: only while the result is the applicant's current state — after a contract issues the state has moved on'; admin.md W7,1440-admin-test-results.png,Row 'W. Tester attempt 1 · 16 Sep 2026 100% 85% 0% Passed' — the walk's pass landed here (hand-off). 'Overturn' link offered on it although the contract is Issued; modal GET 200 and offers 'Failed → The application is closed' (F6). Not submitted
admin//defects@1440,Defects — Retask,Accountability › Defect queue,Pass,200,http://127.0.0.1:3002/defects,http://127.0.0.1:3002/defects,admin.md §5.3,1440-admin-offboardings-demo-off.png,"Read for its tab strip: Defect queue, Contested flags, Disputes, Sampling audit, Performance flags, Suspensions, Offboarding flags"
admin//offboardings@1440,Offboarding flags — Retask,Accountability › Offboarding flags,Fail,200,http://127.0.0.1:3002/offboardings,http://127.0.0.1:3002/offboardings,admin.md W5 'ADMIN INVESTIGATES → ADMIN DECIDES — cause + reason required'; ROUTES.md /offboardings 'every row opens the decision',1440-admin-offboardings-demo-off.png,"Demo off. Two rows (sweep.freelancer 'Threshold 2 of 2', sweep.reviewer) each with 'Investigate' → /admin/actions/offboard/new?ref=usr_… → HTTP 404, modal 'Not available — This action is not open to you' (F1). Rail highlights Accountability tab 'Offboarding flags' (aria-current=page). At 820 icon rail 72px; at 390 drawer + hamburger. Overflow: main sw=cw at every width; at 390 the table's own div.scroll-x wrapper scrolls (548>348) — permitted table scroll, main does not overflow"
admin//offboardings@820,Offboarding flags — Retask,Accountability › Offboarding flags,Fail,200,http://127.0.0.1:3002/offboardings,http://127.0.0.1:3002/offboardings,admin.md W5 'ADMIN INVESTIGATES → ADMIN DECIDES — cause + reason required'; ROUTES.md /offboardings 'every row opens the decision',820-admin-offboardings-demo-off.png,"Demo off. Two rows (sweep.freelancer 'Threshold 2 of 2', sweep.reviewer) each with 'Investigate' → /admin/actions/offboard/new?ref=usr_… → HTTP 404, modal 'Not available — This action is not open to you' (F1). Rail highlights Accountability tab 'Offboarding flags' (aria-current=page). At 820 icon rail 72px; at 390 drawer + hamburger. Overflow: main sw=cw at every width; at 390 the table's own div.scroll-x wrapper scrolls (548>348) — permitted table scroll, main does not overflow"
admin//offboardings@390,Offboarding flags — Retask,Accountability › Offboarding flags,Fail,200,http://127.0.0.1:3002/offboardings,http://127.0.0.1:3002/offboardings,admin.md W5 'ADMIN INVESTIGATES → ADMIN DECIDES — cause + reason required'; ROUTES.md /offboardings 'every row opens the decision',390-admin-offboardings-demo-off.png,"Demo off. Two rows (sweep.freelancer 'Threshold 2 of 2', sweep.reviewer) each with 'Investigate' → /admin/actions/offboard/new?ref=usr_… → HTTP 404, modal 'Not available — This action is not open to you' (F1). Rail highlights Accountability tab 'Offboarding flags' (aria-current=page). At 820 icon rail 72px; at 390 drawer + hamburger. Overflow: main sw=cw at every width; at 390 the table's own div.scroll-x wrapper scrolls (548>348) — permitted table scroll, main does not overflow"
admin//suspensions@1440,Suspensions — Retask,Accountability › Suspensions,Fail,200,http://127.0.0.1:3002/suspensions,http://127.0.0.1:3002/suspensions,"admin.md §5.2 Suspensions: 'Suspend for cause or lift, reason required'; W6 'Admin suspends with a required reason'",1440-admin-suspensions-demo-off.png,Demo off. 'Nobody is suspended'; the screen offers no control to suspend anyone (only lifting 'is one action here'); freelancer detail /admin/freelancers/usr_26mLasJEhRFY offers none either (F1). main sw=cw at 1440; ovx none
admin//suspensions@820,Suspensions — Retask,Accountability › Suspensions,Fail,200,http://127.0.0.1:3002/suspensions,http://127.0.0.1:3002/suspensions,"admin.md §5.2 Suspensions: 'Suspend for cause or lift, reason required'; W6 'Admin suspends with a required reason'",820-admin-suspensions-demo-off.png,Demo off. 'Nobody is suspended'; the screen offers no control to suspend anyone (only lifting 'is one action here'); freelancer detail /admin/freelancers/usr_26mLasJEhRFY offers none either (F1). main sw=cw at 820; ovx none
admin//suspensions@390,Suspensions — Retask,Accountability › Suspensions,Fail,200,http://127.0.0.1:3002/suspensions,http://127.0.0.1:3002/suspensions,"admin.md §5.2 Suspensions: 'Suspend for cause or lift, reason required'; W6 'Admin suspends with a required reason'",390-admin-suspensions-demo-off.png,Demo off. 'Nobody is suspended'; the screen offers no control to suspend anyone (only lifting 'is one action here'); freelancer detail /admin/freelancers/usr_26mLasJEhRFY offers none either (F1). main sw=cw at 390; ovx none
admin//admin/actions/offboard/new?ref=usr_26mLasJEhRFY@1440,(modal) Not available,Accountability › Offboarding flags › Investigate,Fail,404,http://127.0.0.1:3002/admin/actions/offboard/new?ref=usr_26mLasJEhRFY,http://127.0.0.1:3002/offboardings (modal frame),admin.md W5: 'every row opens the decision',1440-admin-offboard-investigate-modal.png,"GET returned 404 (network reqid 370); modal text 'This action is not open to you: the record has gone, it has already been decided, or it is routed to another role.' Mechanism: AdminShell::Action.find has no live branch for kind offboard → Canvas.modal(kind, ref) → nil for a real usr_ id (F1)"
admin//admin/actions/offboard/new?ref=usr_d9u973sv3YGj@1440,(modal) Not available,Accountability › Offboarding flags › Investigate,Fail,404,http://127.0.0.1:3002/admin/actions/offboard/new?ref=usr_d9u973sv3YGj,http://127.0.0.1:3002/offboardings (modal frame),admin.md W5: 'every row opens the decision',1440-admin-offboard-investigate-modal.png,"Second row, same 404 (network reqid 554) — 2 of 2 rows (F1)"
admin//freelancers@1440,Freelancer roster — Retask,People › Freelancer roster,Pass,200,http://127.0.0.1:3002/freelancers,http://127.0.0.1:3002/freelancers,admin.md §5.2 Freelancer roster,1440-admin-freelancer-detail-sweep-freelancer.png,3 rows; row action 'Open' only. 'sweep.freelancer … 5 active' while the freelancer's own dashboard says 'My active tasks 13' (F8)
admin//admin/freelancers/usr_26mLasJEhRFY@1440,sweep.freelancer — Retask,People › Freelancer roster › Open,Fail,200,http://127.0.0.1:3002/admin/freelancers/usr_26mLasJEhRFY,http://127.0.0.1:3002/admin/freelancers/usr_26mLasJEhRFY,admin.md §5.2 Freelancer detail; W6 (suspend is Admin's decision),1440-admin-freelancer-detail-sweep-freelancer.png,"Measures, recent tasks, defects, documents — no suspend / offboard / request-documents control anywhere in main (only links). Part of F1"
admin//performance-flags@1440,Performance flags — Retask,Accountability › Performance flags,Pass,200,http://127.0.0.1:3002/performance-flags,http://127.0.0.1:3002/performance-flags,"ROUTES.md /performance-flags: 'no control on the screen: a flag is evidence, and suspension is F-30's'",1440-admin-performance-flags-no-control.png,As specified: evidence only. sweep.freelancer past threshold
admin//contract-archive@1440,Contract archive — Retask,People › Contract archive,Fail,200,http://127.0.0.1:3002/contract-archive,http://127.0.0.1:3002/contract-archive,ROUTES.md /contract-archive: 'every contract with its jurisdiction version and how long is left to sign',1440-admin-contract-archive.png,"Row 'vcn_1K3PHvaFpkZi · W. Tester Issued 16 Sep Nigeria v1 Issued —' (the walk's contract). Signature window column is '—' on every Issued row — the one figure the route promises (F8). 'State' column shows account states (Active, Provisioned, Vendor approved)"
freelancer//login/link/<fixture token>@1440,One-time sign-in link — Retask,(auth card),Blocked,200,http://127.0.0.1:3002/login/link/eyJ…b5ec…(fixture freelancer_magic_token),http://127.0.0.1:3002/login/link,Plan: freelancer recipe `magic-link`,1440-freelancer-dashboard-after-magic-link.png,"Fixture token exp 2026-09-16T08:54:19Z (15-min lifetime, minted 08:39Z); at 13:09Z the app answered alert 'That link has expired or has already been used.' Not a defect: a stale fixture. A fresh link was requested through /login/link for sweep.freelancer@example.test and read from the inbox; that signed the persona in"
freelancer//dashboard@1440,Home — Retask,Dashboard,Fail,200,http://127.0.0.1:3002/login/link/<fresh token>,http://127.0.0.1:3002/dashboard,"freelancer.md §10 Dashboard: 'Available count, my active tasks, accrued this period, defects against me'; §5 wip_limit_per_freelancer ('3 of 5')",1440-freelancer-dashboard-after-magic-link.png,h1 'Your work today'; Available 3 · My active tasks 13 with no limit shown; no 'accrued this period' and no 'defects against me' figure on the dashboard (§10). Rail highlights Dashboard. 820: icon rail 72px; 390: drawer. main sw=cw at 1440; ovx none
freelancer//dashboard@820,Home — Retask,Dashboard,Fail,200,http://127.0.0.1:3002/login/link/<fresh token>,http://127.0.0.1:3002/dashboard,"freelancer.md §10 Dashboard: 'Available count, my active tasks, accrued this period, defects against me'; §5 wip_limit_per_freelancer ('3 of 5')",820-freelancer-dashboard.png,h1 'Your work today'; Available 3 · My active tasks 13 with no limit shown; no 'accrued this period' and no 'defects against me' figure on the dashboard (§10). Rail highlights Dashboard. 820: icon rail 72px; 390: drawer. main sw=cw at 820; ovx none
freelancer//dashboard@390,Home — Retask,Dashboard,Fail,200,http://127.0.0.1:3002/login/link/<fresh token>,http://127.0.0.1:3002/dashboard,"freelancer.md §10 Dashboard: 'Available count, my active tasks, accrued this period, defects against me'; §5 wip_limit_per_freelancer ('3 of 5')",390-freelancer-dashboard.png,h1 'Your work today'; Available 3 · My active tasks 13 with no limit shown; no 'accrued this period' and no 'defects against me' figure on the dashboard (§10). Rail highlights Dashboard. 820: icon rail 72px; 390: drawer. main sw=cw at 390; ovx none
freelancer//mine-tasks@1440,My tasks — Retask,My tasks,Fail,200,http://127.0.0.1:3002/mine-tasks,http://127.0.0.1:3002/mine-tasks,"freelancer.md §10 My tasks: 'Claimed and in progress, against the WIP limit'; doctrine: a rail entry that leads to a placeholder is a defect",1440-freelancer-my-tasks-wip.png,'This screen is designed and not yet built — F-14. My tasks is on its way' while the dashboard reports 13 active tasks (F5)
freelancer//account@1440,Account — Retask,Account (rail foot),Fail,200,http://127.0.0.1:3002/account,http://127.0.0.1:3002/account,"freelancer.md §10 'Profile and documents', 'Close my account'; doctrine: rail entry → placeholder",1440-freelancer-account.png,"'This screen is designed and not yet built — F-03.' /close-my-account exists (fetch 200, h1 'Close my account') but nothing in the rail leads to it (F5)"
root/(sign-in)@1440,—,—,Blocked,,http://127.0.0.1:3002/login,http://127.0.0.1:3002—,Plan: root recipe `password+totp`,,No ROOT_ADMIN_PASSWORD in this environment (qa.config.yml environment.root_admin_password); the root persona was not signed in and no root page was reached
root/(sign-in)@820,—,—,Blocked,,http://127.0.0.1:3002/login,http://127.0.0.1:3002—,Plan: root recipe `password+totp`,,No ROOT_ADMIN_PASSWORD in this environment (qa.config.yml environment.root_admin_password); the root persona was not signed in and no root page was reached
root/(sign-in)@390,—,—,Blocked,,http://127.0.0.1:3002/login,http://127.0.0.1:3002—,Plan: root recipe `password+totp`,,No ROOT_ADMIN_PASSWORD in this environment (qa.config.yml environment.root_admin_password); the root persona was not signed in and no root page was reached
